method,n_cluster,seed,silhoutte,db
KMeans,2,1,0.6810461692117467,0.4042928371730424
KMeans,2,5,0.6810461692117467,0.4042928371730424
KMeans,2,7,0.6810461692117467,0.4042928371730424
KMeans,2,13,0.6810461692117467,0.4042928371730424
KMeans,3,1,0.5528190123564101,0.6619715465007542
KMeans,3,5,0.5528190123564101,0.6619715465007542
KMeans,3,7,0.5528190123564101,0.6619715465007542
KMeans,3,13,0.5528190123564101,0.6619715465007542
KMeans,4,1,0.49805050499728803,0.7803069838811072
KMeans,4,5,0.4972176648710981,0.7776575256491005
KMeans,4,7,0.49805050499728803,0.7803069838811072
KMeans,4,13,0.49805050499728803,0.7803069838811072
KMeans,5,1,0.49308040671935277,0.8193844948350486
KMeans,5,5,0.49308040671935277,0.8193844948350459
KMeans,5,7,0.4887488870931063,0.8059652120182781
KMeans,5,13,0.4887488870931063,0.8059652120182814
MiniBatchKMeans,2,1,0.6810461692117467,0.4042928371730424
MiniBatchKMeans,2,5,0.6810461692117467,0.4042928371730424
MiniBatchKMeans,2,7,0.6810461692117467,0.4042928371730424
MiniBatchKMeans,2,13,0.6810461692117467,0.4042928371730424
MiniBatchKMeans,3,1,0.5270101525021654,0.6921530712428238
MiniBatchKMeans,3,5,0.5528190123564101,0.6619715465007541
MiniBatchKMeans,3,7,0.5528190123564101,0.6619715465007542
MiniBatchKMeans,3,13,0.5223977059079018,0.6890258937702982
MiniBatchKMeans,4,1,0.4972176648710981,0.7776575256491005
MiniBatchKMeans,4,5,0.4942639043966461,0.7455620701816814
MiniBatchKMeans,4,7,0.49711931223416317,0.7658355038888639
MiniBatchKMeans,4,13,0.49430624992947664,0.7631999083979373
MiniBatchKMeans,5,1,0.37112542900286677,0.9080302075136595
MiniBatchKMeans,5,5,0.4887488870931063,0.8059652120182765
MiniBatchKMeans,5,7,0.4938223351625288,0.8151062212614519
MiniBatchKMeans,5,13,0.48989824728439507,0.7982494915660838
SpectralClustering,2,1,0.6867350732769781,0.3827528421006907
SpectralClustering,2,5,0.6867350732769781,0.3827528421006907
SpectralClustering,2,7,0.6867350732769781,0.3827528421006907
SpectralClustering,2,13,0.6867350732769781,0.3827528421006907
SpectralClustering,3,1,0.5553062646081599,0.6538599267578277
SpectralClustering,3,5,0.5553062646081599,0.6538599267578277
SpectralClustering,3,7,0.5553062646081599,0.6538599267578277
SpectralClustering,3,13,0.5553062646081599,0.6538599267578277
SpectralClustering,4,1,0.4916634164720613,0.6578898903340342
SpectralClustering,4,5,0.4916634164720613,0.6578898903340342
SpectralClustering,4,7,0.4916634164720613,0.6578898903340342
SpectralClustering,4,13,0.4916634164720613,0.6578898903340342
SpectralClustering,5,1,0.4537085438533738,0.7328611326296022
SpectralClustering,5,5,0.4537085438533738,0.7328611326295996
SpectralClustering,5,7,0.4537085438533738,0.7328611326295997
SpectralClustering,5,13,0.45388871416325266,0.7309184251723504
SpectralBiclustering,2,1,0.6867350732769781,0.3827528421006907
SpectralBiclustering,2,5,0.6867350732769781,0.3827528421006907
SpectralBiclustering,2,7,0.6867350732769781,0.3827528421006907
SpectralBiclustering,2,13,0.6867350732769781,0.3827528421006907
SpectralBiclustering,3,1,0.4614716883779056,0.8453820018426934
SpectralBiclustering,3,5,0.4614716883779056,0.8453820018426934
SpectralBiclustering,3,7,0.4614716883779056,0.8453820018426934
SpectralBiclustering,3,13,0.4614716883779056,0.8453820018426934
SpectralBiclustering,4,1,0.45233417307772633,0.8541266579992821
SpectralBiclustering,4,5,0.45233417307772633,0.8541266579992821
SpectralBiclustering,4,7,0.45233417307772633,0.8541266579992821
SpectralBiclustering,4,13,0.45233417307772633,0.8541266579992821
SpectralBiclustering,5,1,0.4161752939132772,0.9421264592135504
SpectralBiclustering,5,5,0.42066091065618566,0.9324114469155557
SpectralBiclustering,5,7,0.4161752939132772,0.9421264592135433
SpectralBiclustering,5,13,0.4161752939132772,0.9421264592135514
SpectralCoclustering,2,1,0.6867350732769781,0.3827528421006907
SpectralCoclustering,2,5,0.6867350732769781,0.3827528421006907
SpectralCoclustering,2,7,0.6867350732769781,0.3827528421006907
SpectralCoclustering,2,13,0.6867350732769781,0.3827528421006907
SpectralCoclustering,3,1,0.3351120793788263,2.11940084456455
SpectralCoclustering,3,5,0.3355366210406248,1.9137808439374464
SpectralCoclustering,3,7,0.3355366210406248,1.9137808439374464
SpectralCoclustering,3,13,0.3355366210406248,1.9137808439374464
SpectralCoclustering,4,1,0.1147987203174106,2.1913616379955405
SpectralCoclustering,4,5,0.1147987203174106,2.1913616379955405
SpectralCoclustering,4,7,0.1147987203174106,2.1913616379955405
SpectralCoclustering,4,13,0.1147987203174106,2.1913616379955405
SpectralCoclustering,5,1,0.05887101240700168,3.180618835462376
SpectralCoclustering,5,5,0.05887101240700168,3.1806188354623757
SpectralCoclustering,5,7,0.05887101240700168,3.18061883546241
SpectralCoclustering,5,13,0.05887101240700168,3.1806188354623757
AgglomerativeClustering,2,-,0.6867350732769781,0.3827528421006907
AgglomerativeClustering,3,-,0.5543236611296425,0.6562564540642063
AgglomerativeClustering,4,-,0.4889670857554699,0.7952637917518339
AgglomerativeClustering,5,-,0.4843825892790602,0.820416660964643
Birch,2,-,0.54107927884298,0.6268954976991479
Birch,3,-,0.5019524848046084,0.6258305924331728
Birch,4,-,0.48399607027502384,0.6550244460103869
Birch,5,-,0.48728887911289753,0.8046010364665588
AffinityPropagation,-,-,0.3474081937055618,0.9853972233056609
DBSCAN,-,-,0.4860341970345691,7.222448016359595
OPTICS,-,-,-0.2029430932701267,2.2825836266651005
MeanShift,-,-,0.6857881712617194,0.38855167627103787
