method,n_cluster,seed,silhoutte,db
KMeans,2,1,0.6810461692117467,0.4042928371730424
KMeans,2,2,0.6810461692117467,0.4042928371730424
KMeans,2,3,0.6810461692117467,0.4042928371730424
KMeans,2,4,0.6810461692117467,0.4042928371730424
KMeans,3,1,0.5528190123564101,0.6619715465007542
KMeans,3,2,0.5528190123564101,0.6619715465007542
KMeans,3,3,0.5528190123564101,0.6619715465007542
KMeans,3,4,0.5528190123564101,0.6619715465007542
KMeans,4,1,0.49805050499728803,0.7803069838811072
KMeans,4,2,0.49805050499728803,0.7803069838811072
KMeans,4,3,0.4974551890173758,0.7757009440067051
KMeans,4,4,0.49805050499728803,0.7803069838811072
MiniBatchKMeans,2,1,0.6810461692117467,0.4042928371730424
MiniBatchKMeans,2,2,0.6810461692117467,0.4042928371730424
MiniBatchKMeans,2,3,0.6832688659478875,0.3962792277246935
MiniBatchKMeans,2,4,0.6810461692117467,0.4042928371730424
MiniBatchKMeans,3,1,0.5270101525021654,0.6921530712428238
MiniBatchKMeans,3,2,0.5528190123564101,0.6619715465007542
MiniBatchKMeans,3,3,0.5232055886994371,0.6927641436344917
MiniBatchKMeans,3,4,0.5528190123564101,0.6619715465007542
MiniBatchKMeans,4,1,0.4972176648710981,0.7776575256491005
MiniBatchKMeans,4,2,0.4961871318338462,0.7674009254341767
MiniBatchKMeans,4,3,0.49535632852885064,0.7638946585363441
MiniBatchKMeans,4,4,0.4974551890173758,0.7757009440067051
SpectralClustering,2,1,0.6867350732769781,0.3827528421006907
SpectralClustering,2,2,0.6867350732769781,0.3827528421006907
SpectralClustering,2,3,0.6867350732769781,0.3827528421006907
SpectralClustering,2,4,0.6867350732769781,0.3827528421006907
SpectralClustering,3,1,0.5553062646081599,0.6538599267578277
SpectralClustering,3,2,0.5553062646081599,0.6538599267578277
SpectralClustering,3,3,0.5553062646081599,0.6538599267578277
SpectralClustering,3,4,0.5553062646081599,0.6538599267578277
SpectralClustering,4,1,0.4916634164720613,0.6578898903340342
SpectralClustering,4,2,0.4916634164720613,0.6578898903340342
SpectralClustering,4,3,0.4916634164720613,0.6578898903340342
SpectralClustering,4,4,0.4916634164720613,0.6578898903340342
SpectralBiclustering,2,1,0.6867350732769781,0.3827528421006907
SpectralBiclustering,2,2,0.6867350732769781,0.3827528421006907
SpectralBiclustering,2,3,0.6867350732769781,0.3827528421006907
SpectralBiclustering,2,4,0.6867350732769781,0.3827528421006907
SpectralBiclustering,3,1,0.4614716883779056,0.8453820018426934
SpectralBiclustering,3,2,0.4614716883779056,0.8453820018426934
SpectralBiclustering,3,3,0.4614716883779056,0.8453820018426934
SpectralBiclustering,3,4,0.4614716883779056,0.8453820018426934
SpectralBiclustering,4,1,0.45233417307772633,0.8541266579992821
SpectralBiclustering,4,2,0.4444488633705792,0.8810995929653447
SpectralBiclustering,4,3,0.45233417307772633,0.8541266579992821
SpectralBiclustering,4,4,0.45233417307772633,0.8541266579992821
SpectralCoclustering,2,1,0.6867350732769781,0.3827528421006907
SpectralCoclustering,2,2,0.6867350732769781,0.3827528421006907
SpectralCoclustering,2,3,0.6867350732769781,0.3827528421006907
SpectralCoclustering,2,4,0.6867350732769781,0.3827528421006907
SpectralCoclustering,3,1,0.3351120793788263,2.11940084456455
SpectralCoclustering,3,2,0.3355366210406248,1.9137808439374464
SpectralCoclustering,3,3,0.3355366210406248,1.9137808439374464
SpectralCoclustering,3,4,0.3355366210406248,1.9137808439374464
SpectralCoclustering,4,1,0.1147987203174106,2.1913616379955405
SpectralCoclustering,4,2,0.1147987203174106,2.1913616379955405
SpectralCoclustering,4,3,0.1147987203174106,2.1913616379955405
SpectralCoclustering,4,4,0.1139360945156219,2.347469517721355
AgglomerativeClustering,2,-,0.6867350732769781,0.3827528421006907
AgglomerativeClustering,3,-,0.5543236611296425,0.6562564540642063
AgglomerativeClustering,4,-,0.4889670857554699,0.7952637917518339
Birch,2,-,0.54107927884298,0.6268954976991479
Birch,3,-,0.5019524848046084,0.6258305924331728
Birch,4,-,0.48399607027502384,0.6550244460103869
AffinityPropagation,-,-,0.3474081937055618,0.9853972233056609
DBSCAN,-,-,0.4860341970345691,7.222448016359595
OPTICS,-,-,-0.2029430932701267,2.2825836266651005
MeanShift,-,-,0.6857881712617194,0.38855167627103787
